cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate ,age,concrete_compressive_strength
387.0,20.0,94.0,157.0,14.3,938.0,845.0,56,56.34
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14,29.75
102.0,153.0,0.0,192.0,0.0,887.0,942.0,90,25.46
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,3,17.57
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,42.62
159.0,149.0,116.0,175.0,15.0,953.0,720.0,28,27.68
322.0,149.0,0.0,186.0,8.0,951.0,709.0,28,52.42
266.0,112.0,87.0,178.0,10.0,910.0,745.0,28,39.42
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,14,20.73
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,28,33.08
273.0,0.0,90.0,199.0,11.0,931.0,762.0,28,32.24
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,42.23
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,3,15.04
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,3,15.44
132.0,207.0,161.0,179.0,5.0,867.0,736.0,28,33.3
350.0,0.0,0.0,203.0,0.0,974.0,775.0,90,31.35
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,28,21.65
159.0,209.0,161.0,201.0,7.0,848.0,669.0,28,30.88
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3
295.7,0.0,95.6,171.5,8.9,955.1,859.2,28,39.94
375.0,0.0,0.0,186.0,0.0,1038.0,758.0,7,26.06
252.5,0.0,0.0,185.7,0.0,1111.6,784.3,7,11.48
303.6,139.9,0.0,213.5,6.2,895.5,722.5,28,33.42
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365,56.14
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,64.3
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,28,40.15
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,3,13.12
298.1,0.0,107.0,186.4,6.1,879.0,815.2,28,42.64
374.3,0.0,0.0,190.2,6.7,1013.2,730.4,28,39.06
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,3,9.45
531.3,0.0,0.0,141.8,28.2,852.1,893.7,28,56.4
350.0,0.0,0.0,186.0,0.0,1050.0,770.0,28,34.29
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,28,17.34
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,3,12.47
252.3,0.0,98.8,146.3,14.2,987.8,889.0,14,42.29
298.0,0.0,107.0,164.0,13.0,953.0,784.0,28,35.86
297.0,0.0,0.0,186.0,0.0,1040.0,734.0,7,30.96
313.0,0.0,113.0,178.0,8.0,1002.0,689.0,28,36.8
157.0,236.0,0.0,192.0,0.0,935.4,781.2,3,9.69
157.0,236.0,0.0,192.0,0.0,935.4,781.2,7,16.89
333.0,0.0,0.0,192.0,0.0,931.2,842.6,3,15.62
132.0,206.5,160.9,178.9,5.5,866.9,735.6,28,33.31
427.5,47.5,0.0,228.0,0.0,932.0,594.0,7,35.08
154.8,183.4,0.0,193.3,9.1,1047.4,696.7,28,18.29
439.0,177.0,0.0,186.0,11.1,884.9,707.9,91,73.3
151.0,0.0,184.0,167.0,12.0,991.0,772.0,28,15.57
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,14,24.99
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,39.36
393.0,0.0,0.0,192.0,0.0,940.6,785.6,90,48.85
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,26.26
297.8,137.2,106.9,201.3,6.0,878.4,655.3,28,53.52
322.0,0.0,116.0,196.0,10.0,818.0,813.0,28,31.18
480.0,0.0,0.0,192.0,0.0,936.2,712.2,90,54.32
298.0,0.0,107.0,186.0,6.0,879.0,815.0,28,42.64
491.0,26.0,123.0,201.0,3.9,822.0,699.0,3,29.55
277.1,0.0,97.4,160.6,11.8,973.9,875.6,56,51.04
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,1,12.64
116.0,173.0,0.0,192.0,0.0,909.8,891.9,3,6.28
250.0,0.0,95.7,187.4,5.5,956.9,861.2,3,13.82
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,41.15
310.0,0.0,0.0,192.0,0.0,970.0,850.0,28,27.92
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100,53.66
141.9,166.6,129.7,173.5,10.9,882.6,785.3,28,44.61
385.0,0.0,136.0,158.0,20.0,903.0,768.0,28,55.55
250.0,0.0,95.7,187.4,5.5,956.9,861.2,100,42.35
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,37.72
158.6,148.9,116.0,175.1,15.0,953.3,719.7,28,27.68
160.0,128.0,122.0,182.0,6.4,824.0,879.0,28,39.4
387.0,20.0,94.0,157.0,11.6,938.0,845.0,7,41.67
310.0,142.8,0.0,167.9,10.0,914.3,804.0,28,45.3
313.0,145.0,0.0,178.0,8.0,867.0,824.0,28,44.39
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,7,9.01
276.0,116.0,90.0,180.0,9.0,870.0,768.0,28,44.28
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,100,40.39
149.0,236.0,0.0,176.0,13.0,847.0,893.0,28,32.96
149.0,118.0,92.0,183.0,7.0,953.0,780.0,28,23.52
359.0,19.0,141.0,154.0,10.9,942.0,801.0,7,35.75
150.9,0.0,183.9,166.6,11.6,991.2,772.2,28,15.57
164.0,0.0,200.0,181.0,13.0,849.0,846.0,28,15.09
339.0,0.0,0.0,197.0,0.0,968.0,781.0,180,36.45
304.8,0.0,99.6,196.0,9.8,959.4,705.2,28,30.12
222.4,0.0,96.7,189.3,4.5,967.1,870.3,28,24.89
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,120,39.38
318.8,212.5,0.0,155.7,14.3,852.1,880.4,91,68.1
173.0,116.0,0.0,192.0,0.0,946.8,856.8,90,32.1
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,28,31.74
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,90,29.39
375.0,93.8,0.0,126.6,23.4,852.1,992.6,28,56.7
250.0,0.0,95.7,187.4,5.5,956.9,861.2,14,24.92
116.0,173.0,0.0,192.0,0.0,909.8,891.9,7,10.09
439.0,177.0,0.0,186.0,11.1,884.9,707.9,7,56.1
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,56,36.56
194.7,0.0,100.5,170.2,7.5,998.0,901.8,28,37.27
295.0,0.0,0.0,185.0,0.0,1069.0,769.0,7,14.8
236.0,0.0,0.0,193.0,0.0,968.0,885.0,365,25.08
252.0,0.0,0.0,186.0,0.0,1111.0,784.0,7,11.47
183.9,122.6,0.0,203.5,0.0,959.2,800.0,7,10.79
323.7,282.8,0.0,183.8,10.3,942.7,659.9,28,74.7
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90,49.19
531.3,0.0,0.0,141.8,28.2,852.1,893.7,91,59.2
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,14,19.42
148.1,0.0,182.1,181.4,15.0,838.9,884.3,28,15.53
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,45.71
183.9,122.6,0.0,203.5,0.0,959.2,800.0,28,24.05
261.0,100.0,78.0,201.0,9.0,864.0,761.0,28,32.4
314.0,0.0,113.0,170.0,10.0,925.0,783.0,28,38.46
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.85
304.0,140.0,0.0,214.0,6.0,895.0,722.0,28,33.42
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28,30.08
446.0,24.0,79.0,162.0,11.6,967.0,712.0,3,25.02
183.9,122.6,0.0,203.5,0.0,959.2,800.0,90,32.53
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,56,36.97
252.3,0.0,98.8,146.3,14.2,987.8,889.0,56,55.83
382.0,0.0,0.0,186.0,0.0,1111.0,784.0,7,11.47
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,28,17.6
157.0,236.0,0.0,192.0,0.0,935.4,781.2,90,43.38
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,28,17.54
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,3,26.06
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,28,27.77
275.0,0.0,0.0,183.0,0.0,1088.0,808.0,28,24.5
249.1,0.0,98.8,158.1,12.8,987.8,889.0,28,30.85
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,28,41.41
388.6,97.1,0.0,157.9,12.1,852.1,925.7,91,57.6
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,14,48.4
250.2,166.8,0.0,203.5,0.0,977.6,694.1,7,19.35
